Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00+08:00,94.09839691415556,94.77053088466307,91.91397112492301,92.67012023925781,552504,0.0,0.0
2024-01-03 00:00:00+08:00,91.6619261183275,94.7705379512897,91.6619261183275,94.09840393066406,789299,0.0,0.0
2024-01-04 00:00:00+08:00,95.02257567598919,98.04716570300754,94.09839628022587,97.37503814697266,1241972,0.0,0.0
2024-01-05 00:00:00+08:00,98.29921694254995,99.55946331360828,97.62708298067436,98.80331420898438,1399612,0.0,0.0
2024-01-08 00:00:00+08:00,99.3914405721712,101.57586649915348,97.03897793699336,98.04717254638672,1089849,0.0,0.0
2024-01-09 00:00:00+08:00,94.35044890820174,95.35864345564927,86.87298571647469,90.98979187011719,1945980,0.0,0.0
2024-01-10 00:00:00+08:00,90.73774014197245,91.49388925847781,89.3094634629748,89.72954559326172,904296,0.0,0.0
2024-01-11 00:00:00+08:00,89.98158998731994,91.82995518522391,89.98158998731994,90.48568725585938,903131,0.0,0.0
2024-01-12 00:00:00+08:00,91.57790399681073,94.77053073682417,91.157821868385,94.35044860839844,863998,0.0,0.0
2024-01-15 00:00:00+08:00,94.26642608642578,94.26642608642578,94.26642608642578,94.26642608642578,0,0.0,0.0
2024-01-16 00:00:00+08:00,96.95494842635428,99.39142584975262,96.03076910298086,96.53486633300781,1277039,0.0,0.0
2024-01-17 00:00:00+08:00,96.19880767573167,97.71110590622756,90.73773999108315,91.40987396240234,1516074,0.0,0.0
2024-01-18 00:00:00+08:00,91.40987309481842,96.87094072763519,90.2336418611459,96.19880676269531,1109075,0.0,0.0
2024-01-19 00:00:00+08:00,96.1988066434275,97.29102273261454,93.42626205391859,94.60249328613281,1036812,0.0,0.0
2024-01-22 00:00:00+08:00,91.99798612523648,96.9549565226491,91.99798612523648,94.35044860839844,1094606,0.0,0.0
2024-01-23 00:00:00+08:00,93.25823847691242,98.803321644902,93.25823847691242,98.46725463867188,972793,0.0,0.0
2024-01-24 00:00:00+08:00,99.2234036806241,100.98774744877471,98.46725452000385,100.90373229980469,994027,0.0,0.0
2024-01-25 00:00:00+08:00,100.65167962127637,102.0799562809831,98.04716532071954,99.1393814086914,954408,0.0,0.0
2024-01-26 00:00:00+08:00,99.13938846319823,100.98774737904257,98.71930630869315,99.72750091552734,565799,0.0,0.0
2024-01-29 00:00:00+08:00,100.3996279691675,101.49184405916972,99.13938159298547,99.8955307006836,650784,0.0,0.0
2024-01-30 00:00:00+08:00,100.73569454191829,100.73569454191829,98.1311866570533,98.80331420898438,583316,0.0,0.0
2024-01-31 00:00:00+08:00,98.29921750859504,99.55946388691035,97.29102296992059,97.79512023925781,451598,0.0,0.0
2024-02-01 00:00:00+08:00,98.97135065404277,100.39962730698441,97.45905244862085,98.8873291015625,475537,0.0,0.0
2024-02-02 00:00:00+08:00,98.13119535999161,98.21521051019096,94.35045591151506,94.85455322265625,1004697,0.0,0.0
2024-02-05 00:00:00+08:00,94.85455225918344,97.2910300498869,92.41807446847996,96.3668441772461,736927,0.0,0.0
2024-02-06 00:00:00+08:00,97.37504475727512,99.47545553111648,96.61889559670323,99.30741882324219,557595,0.0,0.0
2024-02-07 00:00:00+08:00,99.55947106599322,100.14758352097044,97.87914244040684,98.38323974609375,534642,0.0,0.0
2024-02-08 00:00:00+08:00,98.38323297509004,99.307412373569,96.45085903462397,96.87094116210938,435078,0.0,0.0
2024-02-09 00:00:00+08:00,88.80535888671875,88.80535888671875,88.80535888671875,88.80535888671875,0,0.0,0.0
2024-02-14 00:00:00+08:00,87.54511272836663,92.25003768009512,87.37708244149543,91.99798583984375,695370,0.0,0.0
2024-02-15 00:00:00+08:00,91.32585995894328,92.33406099927565,90.56971719112543,91.82996368408203,413149,0.0,0.0
2024-02-16 00:00:00+08:00,91.91397021787319,95.77872448529075,91.91397021787319,95.02257537841797,753227,0.0,0.0
2024-02-19 00:00:00+08:00,95.02257497404224,97.29102228500705,94.43446256561313,97.20700073242188,658823,0.0,0.0
2024-02-20 00:00:00+08:00,98.13118681637701,98.13118681637701,95.77872435593757,96.7029037475586,456815,0.0,0.0
2024-02-21 00:00:00+08:00,96.9549556426922,99.30741169455884,96.9549556426922,99.1393814086914,831464,0.0,0.0
2024-02-22 00:00:00+08:00,99.5594705641134,103.84430725576979,98.80332140442228,101.743896484375,1406757,0.0,0.0
2024-02-23 00:00:00+08:00,100.06356763890945,106.28078479003906,100.06356763890945,105.02053833007812,1356043,0.0,0.0
2024-02-26 00:00:00+08:00,104.93651625859022,105.02053140172268,101.99594137934199,102.3320083618164,789750,0.0,0.0
2024-02-27 00:00:00+08:00,102.5840537912138,103.0041359168207,100.56765830631183,102.3320083618164,543557,0.0,0.0
2024-02-28 00:00:00+08:00,102.92012786131556,103.08815815915197,101.15578409425343,101.32381439208984,464295,0.0,0.0
2024-02-29 00:00:00+08:00,101.49184314887214,103.67626889933958,101.49184314887214,102.24798583984375,1138921,0.0,0.0
2024-03-01 00:00:00+08:00,102.16397072694531,102.16397072694531,99.97954497584844,101.8279037475586,758056,0.0,0.0
2024-03-04 00:00:00+08:00,101.82791119637845,103.92832195876204,100.39963444193559,103.0881576538086,564687,0.0,0.0
2024-03-05 00:00:00+08:00,102.92012778980147,102.92012778980147,99.47545540698894,100.1475830078125,1098706,0.0,0.0
2024-03-06 00:00:00+08:00,99.39144032719132,101.9959484033254,98.88733661379214,101.32381439208984,636500,0.0,0.0
2024-03-07 00:00:00+08:00,99.97955277956369,103.17217971801516,99.97955277956369,101.32381439208984,527743,0.0,0.0
2024-03-08 00:00:00+08:00,99.81152262063888,105.60865123334754,99.81152262063888,105.27259063720703,1027056,0.0,0.0
2024-03-11 00:00:00+08:00,105.7766871104762,107.70906116288509,105.52463525540571,105.94471740722656,620064,0.0,0.0
2024-03-12 00:00:00+08:00,106.02873269146616,107.79308285933047,106.02873269146616,106.70086669921875,606700,0.0,0.0
2024-03-13 00:00:00+08:00,106.44880741659924,107.79307533831114,103.92831467830618,104.18036651611328,1061184,0.0,0.0
2024-03-14 00:00:00+08:00,104.18037396313184,106.36479987714401,103.7602918100547,105.44062042236328,915682,0.0,0.0
2024-03-15 00:00:00+08:00,104.18036616330214,105.02053040655458,99.55946282541375,102.24798583984375,1882853,0.0,0.0
2024-03-18 00:00:00+08:00,101.65987340449189,103.67626886971038,100.98773944610424,102.6680679321289,483362,0.0,0.0
2024-03-19 00:00:00+08:00,101.49184430177668,102.33200855457304,95.86273996207441,96.9549560546875,1763075,0.0,0.0
2024-03-20 00:00:00+08:00,96.61889547614015,101.1557840239653,96.61889547614015,100.1475830078125,1167404,0.0,0.0
2024-03-21 00:00:00+08:00,101.57586611562931,103.00414287520127,100.23160450486542,100.56766510009766,902022,0.0,0.0
2024-03-22 00:00:00+08:00,88.21724690114188,88.21724690114188,82.67216409220187,83.76437377929688,6206049,0.0,0.0
2024-03-25 00:00:00+08:00,83.17626630688828,83.51233331132934,80.06766093818459,80.78179931640625,3317301,0.0,0.0
2024-03-26 00:00:00+08:00,80.82380005782005,81.36990811428059,77.50515376154738,78.89142608642578,2451840,0.0,0.0
2024-03-27 00:00:00+08:00,78.30331008027086,81.11786560906621,77.96724948872358,80.61376190185547,1892199,0.0,0.0
2024-03-28 00:00:00+08:00,79.39552315288687,80.94982576330895,78.55535888671875,78.55535888671875,1839724,0.0,0.0
2024-04-02 00:00:00+08:00,79.81561250119694,82.75618769860945,79.64758219675146,82.67217254638672,1778312,0.0,0.0
2024-04-03 00:00:00+08:00,82.67216819292233,83.5543368597245,81.49593689390788,83.05023956298828,1246076,0.0,0.0
2024-04-05 00:00:00+08:00,83.59634401154841,83.59634401154841,80.6977798736183,80.73978424072266,871307,0.0,0.0
2024-04-08 00:00:00+08:00,80.78179846787505,85.02462432329891,80.6557725412903,83.47032165527344,1192582,0.0,0.0
2024-04-09 00:00:00+08:00,83.21827246487851,83.72236973857399,81.57994831293742,82.84019470214844,1195530,0.0,0.0
2024-04-10 00:00:00+08:00,83.84838842413654,85.27666497801734,83.47031069403111,85.1926498413086,799714,0.0,0.0
2024-04-11 00:00:00+08:00,83.17625475391894,84.68855285887692,81.57994151200643,84.26847076416016,843883,0.0,0.0
2024-04-12 00:00:00+08:00,83.80637765319979,85.10863470702664,83.38629555970005,84.35248565673828,614500,0.0,0.0
2024-04-15 00:00:00+08:00,83.34428837747797,84.35248929128475,82.08404204267774,82.96621704101562,1049835,0.0,0.0
2024-04-16 00:00:00+08:00,82.252086248136,82.88220947310649,78.80741390028635,79.77359771728516,1225654,0.0,0.0
2024-04-17 00:00:00+08:00,79.22749307578185,80.78179569036595,78.26130288511239,78.89142608642578,895853,0.0,0.0
2024-04-18 00:00:00+08:00,78.89142600662476,83.00823219969692,78.76540008450061,82.1680679321289,1585000,0.0,0.0
2024-04-19 00:00:00+08:00,83.84840286075479,86.36889585564788,80.90782770004618,85.78077697753906,1924371,0.0,0.0
2024-04-22 00:00:00+08:00,85.86479151741878,90.40168015791605,85.69676121626689,87.96520233154297,1558516,0.0,0.0
2024-04-23 00:00:00+08:00,86.11683601163038,89.56150817010669,86.11683601163038,86.70494842529297,864383,0.0,0.0
2024-04-24 00:00:00+08:00,87.1250311591819,88.63732939048556,86.53691874142193,88.13323211669922,1565611,0.0,0.0
2024-04-25 00:00:00+08:00,88.2172464742019,89.81355983524779,88.13323133097728,88.80535888671875,993456,0.0,0.0
2024-04-26 00:00:00+08:00,89.14141845930847,91.1578137788007,89.14141845930847,89.98158264160156,1249022,0.0,0.0
2024-04-29 00:00:00+08:00,92.83814965489447,94.01438088726213,90.82175417225628,91.32585144042969,1480212,0.0,0.0
2024-04-30 00:00:00+08:00,91.57791113457704,98.21521056301705,91.32585927389833,96.0307846069336,2238365,0.0,0.0
2024-05-02 00:00:00+08:00,96.03078455528241,96.87094887716609,94.7705380724569,94.85455322265625,1025646,0.0,0.0
2024-05-03 00:00:00+08:00,94.85454524276008,96.78691917455929,93.42626216974898,96.19880676269531,745806,0.0,0.0
2024-05-06 00:00:00+08:00,96.19879865265678,97.79511187735342,95.52666474438114,97.6270751953125,609286,0.0,0.0
2024-05-07 00:00:00+08:00,96.78691927157709,101.91192633700568,96.78691927157709,101.07176208496094,1229275,0.0,0.0
2024-05-08 00:00:00+08:00,101.49184392684386,102.83610544436311,100.48364298124602,101.57585906982422,1327549,0.0,0.0
2024-05-09 00:00:00+08:00,100.48364275937087,108.71724854221122,100.48364275937087,107.79307556152344,2167618,0.0,0.0
2024-05-10 00:00:00+08:00,108.7172556024487,112.41398622493735,105.69267180574694,108.80127716064453,2469156,0.0,0.0
2024-05-13 00:00:00+08:00,111.741850866687,116.61480632560317,110.06152228222554,115.27053833007812,2051661,0.0,0.0
2024-05-14 00:00:00+08:00,116.69880823188348,116.95086006877669,112.7500388535197,116.61479949951172,1613412,0.0,0.0
2024-05-16 00:00:00+08:00,116.78283789246244,117.95906278644496,112.58201638553933,113.254150390625,2515055,0.0,0.0
2024-05-17 00:00:00+08:00,113.254150390625,115.4385698822911,111.57382178785575,113.254150390625,990868,0.0,0.0
2024-05-20 00:00:00+08:00,113.42218107950751,115.85865243400023,113.25415078262697,113.92628479003906,929450,0.0,0.0
2024-05-21 00:00:00+08:00,113.50620294169603,113.67423323902632,110.397584751581,111.82587432861328,947801,0.0,0.0
2024-05-22 00:00:00+08:00,111.48980012653526,112.24595568901522,110.1455449374984,110.48160552978516,674700,0.0,0.0
2024-05-23 00:00:00+08:00,110.48159836969451,113.08611266073797,108.88529142995111,110.73365020751953,810688,0.0,0.0
2024-05-24 00:00:00+08:00,110.73365721146092,112.58201610593868,108.88529831698318,111.74185180664062,685500,0.0,0.0
2024-05-27 00:00:00+08:00,113.62024063972689,119.39466489585136,113.19565081144499,116.5074462890625,1141147,1.412,0.0
2024-05-28 00:00:00+08:00,117.10186580507384,122.70645654658408,116.93203247054838,121.8572769165039,1694110,0.0,0.0
2024-05-29 00:00:00+08:00,121.8572769165039,124.1500593262298,119.22481488027425,121.8572769165039,1197391,0.0,0.0
2024-05-30 00:00:00+08:00,121.8572736146894,121.8572736146894,113.70514420382673,115.40350341796875,1556527,0.0,0.0
2024-05-31 00:00:00+08:00,117.18678860062775,117.69630156013335,112.77105712890625,112.77105712890625,2102451,0.0,0.0
2024-06-03 00:00:00+08:00,113.79006405074162,118.88514154555094,113.79006405074162,118.20579528808594,1760767,0.0,0.0
2024-06-04 00:00:00+08:00,117.86613163649668,119.47956770124993,115.40350301022032,118.03596496582031,1533080,0.0,0.0
2024-06-05 00:00:00+08:00,118.6303938023936,120.15891975472167,115.48843170771835,116.16777801513672,1133608,0.0,0.0
2024-06-06 00:00:00+08:00,118.12088637206111,122.28186118783286,118.12088637206111,118.63038635253906,2306332,0.0,0.0
2024-06-07 00:00:00+08:00,118.6303868238236,118.6303868238236,115.91301471145576,117.61137390136719,1641710,0.0,0.0
2024-06-11 00:00:00+08:00,117.61137964621008,119.7343287372969,104.70385176389277,106.5720443725586,3326470,0.0,0.0
2024-06-12 00:00:00+08:00,106.14745791858655,107.16647092311432,103.26024576745566,106.31729125976562,1644378,0.0,0.0
2024-06-13 00:00:00+08:00,106.57204058862501,108.18548313630961,104.53400823779849,105.29827117919922,1084571,0.0,0.0
2024-06-14 00:00:00+08:00,106.23236846923828,108.86482397822083,105.38318885480996,106.23236846923828,1130459,0.0,0.0
2024-06-17 00:00:00+08:00,106.14744927082721,106.23236593449865,102.92056422150361,105.38318634033203,1391338,0.0,0.0
2024-06-18 00:00:00+08:00,106.48712135189757,110.56317947638067,106.14744822184245,109.5441665649414,1146556,0.0,0.0
2024-06-19 00:00:00+08:00,111.32744598388672,112.34645886883484,109.71399703838799,111.32744598388672,469848,0.0,0.0
2024-06-20 00:00:00+08:00,112.0067866937902,115.40350517375295,112.0067866937902,114.80908203125,1025781,0.0,0.0
2024-06-21 00:00:00+08:00,115.14875966671747,115.14875966671747,109.11957928584172,110.39334869384766,2030404,0.0,0.0
2024-06-24 00:00:00+08:00,110.98777573594664,111.92187851770503,108.69499331225681,109.11958312988281,974126,0.0,0.0
2024-06-25 00:00:00+08:00,109.96876740992899,111.24253691660769,108.18549139632412,109.28942108154297,945786,0.0,0.0
2024-06-26 00:00:00+08:00,109.37433987359726,109.71400654552946,105.80778150977095,108.61007690429688,1289158,0.0,0.0
2024-06-27 00:00:00+08:00,108.61006948153907,109.45924258206082,104.70384471274438,105.55302429199219,1051344,0.0,0.0
2024-06-28 00:00:00+08:00,105.38319107543808,108.01564663989156,104.95860125927697,107.59105682373047,1167700,0.0,0.0
2024-07-02 00:00:00+08:00,109.03466190961197,113.45040645689447,109.03466190961197,112.60122680664062,2490656,0.0,0.0
2024-07-03 00:00:00+08:00,112.94089043256396,115.23367283481717,111.07269784396699,111.15760803222656,1077565,0.0,0.0
2024-07-04 00:00:00+08:00,111.66712736175312,113.02582002594218,110.81794768599835,112.34647369384766,654469,0.0,0.0
2024-07-05 00:00:00+08:00,112.6861353743511,113.36548167626124,108.9497501500248,109.03466033935547,1082442,0.0,0.0
2024-07-08 00:00:00+08:00,105.892698117014,105.892698117014,98.50483786837637,101.9864730834961,2483903,0.0,0.0
2024-07-09 00:00:00+08:00,101.98647610212593,103.85467524560936,99.77861027685157,101.81664276123047,1415663,0.0,0.0
2024-07-10 00:00:00+08:00,101.90155440984498,102.75073402992702,100.03336183715503,100.11827850341797,878605,0.0,0.0
2024-07-11 00:00:00+08:00,100.11827621424587,101.73171875125617,98.5897503415569,98.75959014892578,1596949,0.0,0.0
2024-07-12 00:00:00+08:00,98.50483451511549,100.54286686979417,95.70253921759154,97.65565490722656,2003676,0.0,0.0
